model;description
0478;Vintage fushia overdyed rug from Konya region of Turkey.İn good condiiton.Approximately 50-60 years old Rare find, Unique handmade item.
0482;Vintage kilim rug from Konya region of Turkey.İn good condition.Approximately 50-60 years old.
0486;Vintage area rug from İsparta region of Turkey.İn good condition.Approximately 50-60 years old.
0487;Vintage prayer rug from İsparta region of Turkey.İn good condition.Approximately 40-50 years old.
0488;Vintage small rug from Kars region of Turkey.İn good condition.Approximately 40-50 years old Rare find, Unique handmade item.
0490;Vintage colorful kilim rug from Denizli region of Turkey.İn very good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0492;Vintage striped kilim rug from Denizli region of Turkey.İn good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0493;Vintage striped kilim rug from Denizli region of Turkey.İn good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0494;Vintage striped kilim rug from Denizli region of Turkey.İn good condition.Approximately 40-50 years old.
0496;Vintage kilim rug from Denizli region of Turkey.İn good condition.Approximately 40-50 years old.
0497;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0498;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0505;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0506;Decorative naturel kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0507;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0508;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0509;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0510;Decorative naturel kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0511;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0513;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0516;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0517;Decorative natural kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0518;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0519;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0520;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0521;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition Rare find, Unique handmade item. Only 1 in stock.
0527;Vintage embroidered hemp kilim rug from Yozgat region of Turkey. In good condition. Approximately 50-60 years old.
0531;Vintage striped hemp kilim rug from Yozgat region of Turkey. In good condition. Approximately 50-60 years old Rare find, Unique handmade item.
0544;Vintage kilim rug from Kars region of Turkey.In good condition.Approximately 55-65 years old Rare find, Unique handmade item.
0545;Vintage kilim rug from Afyon region of Turkey.In good condition.Approximately 40-50 years old Rare find, Unique handmade item.
0547;Vintage embroidered kilim rug from Denizli region of Turkey.In good condition.Approximately 50-60 years old.
0553;Vintage striped black rug from Malatya region of Turkey.In good condition.Approximately 50-60 years old.
0554;Handwoven kilim rug from Afyon region of Turkey.In very good condition.Approximately 55-65 years old.
0563;Vintage runner rug from Isparta region of Turkey.In very good condition.Approximately 50-60 years old.
0564;Vintage runner rug from Isparta region of Turkey.In good condition.Approximately 50-60 years old.
0566;Vintage one-of-a-kind kilim rug from Kars region of Turkey.In good condition.Approximately 50-60 years old.
0567;Vintage kilim rug from Kars region of Turkey.In very good condition.Approximately 55-65 years old.
0568;Vintage kilim rug from Kars region of Turkey.In good condition.Approximately 60-70 years old.
0569;Decorative kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
